Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Public Space,Box Size (Height in.),Box Size (Width in.),Controller Part,Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-02-01,VAV-2-01,AHU-02-01,2nd West,Room 1-230,Classroom 1-230,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1175,450,0,700,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_1,1436
VAV-02-02,VAV-2-02,AHU-02-01,2nd West,Room 1-232,Classroom 1-232,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1205,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_2,1436
VAV-02-03,VAV-2-03,AHU-02-01,2nd West,Room 1-236,Classroom 1-236,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1140,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_3,1436
VAV-02-04,VAV-2-04,AHU-02-01,2nd West,Room 1-237,Classroom 1-237,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1170,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_4,1436
VAV-02-05,VAV-2-05,AHU-02-01,2nd West,Room 1-238,Classroom 1-238,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1220,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_5,1891
VAV-02-06,VAV-2-06,AHU-02-01,2nd West,Room 1-241,Classroom 1-241,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1220,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_6,1891
VAV-02-07,VAV-2-07,AHU-02-01,2nd West,Room 1-244,Classroom 1-244,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1220,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_7,1891
VAV-02-08,VAV-2-08,AHU-02-01,2nd West,Room 1-146,Classroom 1-146,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1200,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_8,1891
VAV-02-09,VAV-2-09,AHU-02-01,2nd West,Room 1-148,Classroom 1-148,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1200,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_9,1891
VAV-02-10,VAV-2-10,AHU-02-01,2nd West,Room 1-149,ESE Resource 1-149,FALSE,8,0,SXWRPV510001,Round,None,2 Stage EH,580,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_10,904
VAV-02-11,VAV-2-11,AHU-02-01,2nd West,Room 1-245,Electrical 1-245,FALSE,8,0,SXWRPV510001,Round,None,2 Stage EH,800,200,0,250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_11,904
VAV-02-12,VAV-2-12,AHU-02-01,2nd West,Room 1-233,Classroom 1-233,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1190,450,0,700,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2nd We_VAV_2_12,1891
