Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Public Space,Location,Controller Part,Box Size (Height in.),Box Size (Width in.),Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV 2-10 ,54,AHU 2-1,Second Southeast,Primary Classroom 1-217,FALSE, 1-217 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—10 ,1523
VAV 2-11 ,55,AHU 2-1,Second Southeast,Intermediate Classroom 1-218,FALSE, 1-218 ,,10,0,Round,None,SCR EH,1100,465,0,110,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—11 ,1523
VAV 2-12 ,56,AHU 2-1,Second Southeast,Small Group Resource 1-206,FALSE, 1-206 ,,10,0,Round,None,SCR EH,800,465,0,800,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_12 ,1523
VAV 2-13 ,57,AHU 2-1,Second Southeast,Primary Classroom 1-204,FALSE, 1-204 ,,12,0,Round,None,SCR EH,1300,465,0,1300,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_13 ,2120
VAV 2-14 ,58,AHU 2-1,Second Southeast,Intermediate Classroom 1-220,FALSE, 1-220 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_14 ,1523
VAV 2-15 ,59,AHU 2-1,Second Southeast,Computer Lab 1-219,FALSE, 1-219 ,,12,0,Round,None,SCR EH,1400,465,0,1400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_15 ,2120
VAV 2-16 ,60,AHU 2-1,Second Southeast,Primary Classroom 1-201,FALSE, 1-201 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_16 ,1523
VAV 2-17 ,61,AHU 2-2,Second Northwest,Intermediate Classroom 1-221,FALSE, 1-221 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—17 ,1523
VAV 2-18 ,62,AHU 2-2,Second Northwest,Intermediate Classroom 1-222,FALSE, 1-222 ,,10,0,Round,None,SCR EH,1250,465,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2—18 ,1523
VAV 2-19 ,63,AHU 2-2,Second Northwest,Small Group Resource 1-242,FALSE,1-242,,10,0,Round,None,SCR EH,900,300,0,900,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,Second_VAV 2_19 ,1523
